suite	program	engine	med_ms	q1_ms	q3_ms	samples	truncated	steps	entries	rel
eleven	gcd-fx	b/s-x	1.1531	1.0649	1.3442	15	false	245	101	---
eleven	gcd-fx	gpm/s-x	0.9543	0.9160	1.0059	15	false	139	82	---
eleven	gcd-fx	gpm/f-x	0.2881	0.2734	0.2985	15	false	49	37	---
eleven	ackermann-fx	b/s-x	4.8870	4.7871	5.1609	15	false	711	194	---
eleven	ackermann-fx	gpm/s-x	4.2441	3.9849	4.3530	15	false	406	154	---
eleven	ackermann-fx	gpm/f-x	1.8008	1.7170	1.9883	15	false	201	85	---
eleven	collatz-fx	b/s-x	11.3220	11.2720	11.3730	15	false	1639	174	---
eleven	collatz-fx	gpm/s-x	10.2351	10.1511	10.2881	15	false	1099	135	---
eleven	collatz-fx	gpm/f-x	9.9932	9.9497	10.0220	15	false	1059	99	---
eleven	mccarthy91-fx	b/s-x	1.2520	1.1931	1.4778	15	false	296	110	---
eleven	mccarthy91-fx	gpm/s-x	1.0491	1.0120	1.0928	15	false	167	86	---
eleven	mccarthy91-fx	gpm/f-x	0.8430	0.8230	0.8701	15	false	119	53	---
eleven	tak-fx	b/s-x	13.3811	13.3591	13.5090	15	false	1519	247	---
eleven	tak-fx	gpm/s-x	11.4551	11.2000	11.6550	15	false	869	197	---
eleven	tak-fx	gpm/f-x	3.7458	3.5459	3.7559	15	false	328	91	---
eleven	lattice-fx	b/s-x	8.5061	8.4509	8.5339	15	false	1081	282	---
eleven	lattice-fx	gpm/s-x	7.4080	7.3101	7.4719	15	false	646	223	---
eleven	lattice-fx	gpm/f-x	2.9729	2.9080	3.0239	15	false	310	136	---
eleven	church-fx	b/s-x	25.3899	25.2419	25.5593	15	false	2040	350	---
eleven	church-fx	gpm/s-x	21.1450	20.8801	21.3411	15	false	1235	285	---
eleven	church-fx	gpm/f-x	1.7200	1.6143	1.8489	15	false	194	118	---
eleven	fermat-fx	b/s-x	344.0820	343.3789	345.5811	15	false	8340	632	---
eleven	fermat-fx	gpm/s-x	281.2520	280.1841	281.9460	15	false	5244	511	---
eleven	fermat-fx	gpm/f-x	4.2229	4.1282	4.3147	15	false	439	244	---
eleven	rsa-fx	b/s-x	241.2861	240.5042	241.9160	15	false	6072	743	---
eleven	rsa-fx	gpm/s-x	188.3550	187.4150	188.5330	15	false	3797	602	---
eleven	rsa-fx	gpm/f-x	174.8940	174.6450	175.0791	15	false	9760	309	---
eleven	mbrotz-fx	b/s-x	629.1370	626.5642	630.8508	15	false	9054	938	---
eleven	mbrotz-fx	gpm/s-x	470.3591	469.3540	471.3550	15	false	5598	761	---
eleven	mbrotz-fx	gpm/f-x	11.2720	11.1890	11.3479	15	false	1235	338	---
bench	fib	b/s-x	1.8010	1.7612	2.0190	15	false	399	140	---
bench	fib	gpm/s-x	1.5798	1.4512	1.6030	15	false	233	111	---
bench	fib	gpm/f-x	1.1880	1.1589	1.2051	15	false	161	69	---
bench	fact	b/s-x	0.4980	0.4790	0.5217	15	false	147	81	---
bench	fact	gpm/s-x	0.4260	0.4025	0.4504	15	false	84	64	---
bench	fact	gpm/f-x	0.2966	0.2869	0.3184	15	false	55	37	---
bench	power2	b/s-x	2.6150	2.5679	2.6519	15	false	450	78	---
bench	power2	gpm/s-x	2.2761	2.2449	2.3362	15	false	327	61	---
bench	power2	gpm/f-x	2.1582	2.1250	2.1763	15	false	303	37	---
