suite	program	engine	med_ms	q1_ms	q3_ms	samples	truncated	steps	entries	rel
paper	gcd	b/s-x	1.0789	1.0522	1.1812	15	false	245	101	==
paper	gcd	gpm/s-x	0.9451	0.9241	0.9580	15	false	139	82	==
paper	gcd	gpm/f-x	0.2876	0.2760	0.3110	15	false	49	37	==
paper	ackermann	b/s-x	4.6841	4.6143	4.8752	15	false	683	186	==
paper	ackermann	gpm/s-x	4.1499	3.9941	4.1812	15	false	390	148	==
paper	ackermann	gpm/f-x	1.7649	1.6511	1.8630	15	false	185	79	==
paper	collatz	b/s-x	1.3572	1.3318	1.4709	15	false	282	140	==
paper	collatz	gpm/s-x	1.3083	1.2422	1.3979	15	false	164	109	==
paper	collatz	gpm/f-x	1.0637	1.0132	1.0771	15	false	124	73	==
paper	mccarthy91	b/s-x	1.1099	1.0242	1.1912	15	false	268	102	==
paper	mccarthy91	gpm/s-x	0.9453	0.8948	1.0354	15	false	151	80	==
paper	mccarthy91	gpm/f-x	0.7292	0.7129	0.7419	15	false	103	47	==
paper	tak	b/s-x	13.6079	13.5530	13.7498	15	false	1519	247	==
paper	tak	gpm/s-x	11.8242	11.6792	11.9587	15	false	869	197	==
paper	tak	gpm/f-x	3.8303	3.7588	3.8850	15	false	328	91	==
paper	lattice	b/s-x	8.1599	7.9951	8.2109	15	false	1047	274	==
paper	lattice	gpm/s-x	7.3081	7.1252	7.3948	15	false	628	217	==
paper	lattice	gpm/f-x	2.7322	2.5618	2.7419	15	false	291	130	==
paper	church	b/s-x	22.8411	22.5381	22.9358	15	false	1807	321	=<
paper	church	gpm/s-x	19.5950	19.2720	19.7292	15	false	1087	261	=<
paper	church	gpm/f-x	1.8220	1.7051	1.8740	15	false	194	118	=<
paper	fermat	b/s-x	337.3020	335.6692	337.5300	15	false	8232	624	=<
paper	fermat	gpm/s-x	277.1147	276.7031	278.8621	15	false	5180	505	=<
paper	fermat	gpm/f-x	4.2109	4.0847	4.3020	15	false	423	238	=<
paper	rsa	b/s-x	234.7083	233.9202	236.2349	15	false	6004	735	==
paper	rsa	gpm/s-x	185.3958	184.8042	186.0769	15	false	3757	596	==
paper	rsa	gpm/f-x	165.8818	165.6299	166.8191	15	false	8982	303	==
paper	mbrotz	b/s-x	578.3120	577.0530	581.8748	15	false	8239	880	==
paper	mbrotz	gpm/s-x	440.5278	439.0391	441.8901	15	false	5068	714	==
paper	mbrotz	gpm/f-x	5.8821	5.8140	5.9580	15	false	544	322	==
paper	fib	b/s-x	1.7800	1.7559	1.7817	15	false	374	132	==
paper	fib	gpm/s-x	1.5300	1.4651	1.5400	15	false	219	105	==
paper	fib	gpm/f-x	1.0791	1.0569	1.1890	15	false	147	63	==
paper	fact	b/s-x	0.4700	0.4519	0.4780	15	false	147	81	==
paper	fact	gpm/s-x	0.4141	0.4034	0.4299	15	false	84	64	==
paper	fact	gpm/f-x	0.2910	0.2831	0.2941	15	false	55	37	==
paper	power2	b/s-x	2.5598	2.4900	2.6040	15	false	450	78	==
paper	power2	gpm/s-x	2.2979	2.2871	2.3801	15	false	327	61	==
paper	power2	gpm/f-x	2.1638	2.1479	2.1838	15	false	303	37	==
